Num_Resolucion,Fecha_Resolucion,Año,Cod_Territorio,Nom_Territorio,Laboratorio_Vacuna,Cantidad,Uso_vacuna,fecha_corte
00000168,2021/02/16,2021,05,ANTIOQUIA,PFIZER,6570,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,81,ARAUCA,PFIZER,120,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,08,ATLANTICO,PFIZER,564,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,08001,BARRANQUILLA,PFIZER,2556,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,11,BOGOTA D.C.,PFIZER,12582,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,13,BOLIVAR,PFIZER,282,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,13001,CARTAGENA,PFIZER,1260,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,15,BOYACA,PFIZER,1074,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,17,CALDAS,PFIZER,990,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,18,CAQUETA,PFIZER,270,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,85,CASANARE,PFIZER,300,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,19,CAUCA,PFIZER,666,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,20,CESAR,PFIZER,1050,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,27,CHOCO,PFIZER,144,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,23,CORDOBA,PFIZER,1332,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,25,CUNDINAMARCA,PFIZER,1770,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,95,GUAVIARE,PFIZER,78,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,41,HUILA,PFIZER,1494,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,44,LA_GUAJIRA,PFIZER,450,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,47,MAGDALENA,PFIZER,210,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,47001,SANTA MARTA,PFIZER,720,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,50,META,PFIZER,960,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,52,NARIÑO,PFIZER,1776,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,54,NORTE DE SANTANDER,PFIZER,1356,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,86,PUTUMAYO,PFIZER,186,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,63,QUINDIO,PFIZER,540,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,66,RISARALDA,PFIZER,912,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,88,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",PFIZER,42,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,68,SANTANDER,PFIZER,2388,Talento humano en salud de primera línea,2021/03/25
00000168,2021/02/16,2021,70,SUCRE,PFIZER,696,Talento humano en salud de primera línea,2021/03/25
